2019-02-21,23:04:37.493635 
2019-02-21,23:04:37.497622 
2019-02-21,23:04:37.500612 
2019-02-21,23:04:37.507595 
2019-02-21,23:04:37.532527 i am the current leader. Table={}
2019-02-21,23:04:37.534522 Publisher changes. Table={}
2019-02-21,23:04:37.536517 Subscriber changes. Table={}
2019-02-21,23:04:37.537515 broker started. mode=2, port=5555, znode=/Election/Broker_0000000056
2019-02-21,23:04:39.504255 request={'type': 'add_publisher', 'ip': 'tcp://127.0.0.1:5050', 'topic': 'hello0'}, response=
2019-02-21,23:04:39.528189 Publisher changes. Table={'hello0': {'pub': {'tcp://127.0.0.1:5050'}, 'sub': set()}}
2019-02-21,23:04:44.491917 request={'type': 'add_subscriber', 'ip': 'tcp://127.0.0.1:6000', 'topic': 'hello0'}, response=
2019-02-21,23:04:44.527819 Subscriber changes. Table={'hello0': {'pub': {'tcp://127.0.0.1:5050'}, 'sub': {'tcp://127.0.0.1:6000'}}}
2019-02-21,23:04:54.540036 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_0'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:54.553999 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_1'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:54.568961 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_2'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:54.583919 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_3'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:54.597884 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_4'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:54.612841 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_5'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:54.634825 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_6'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:54.650746 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_7'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:54.665701 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_8'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:54.681658 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_9'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
2019-02-21,23:04:54.696625 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_10'}, response=msg sent to ip=['tcp://127.0.0.1:6000'], res=[{'msg': 'success'}]
