2019-02-21,23:01:11.105665 
2019-02-21,23:01:11.109658 
2019-02-21,23:01:11.117637 
2019-02-21,23:01:11.121624 
2019-02-21,23:01:11.152541 i am the current leader. Table={}
2019-02-21,23:01:11.154537 Publisher changes. Table={}
2019-02-21,23:01:11.156530 Subscriber changes. Table={}
2019-02-21,23:01:11.156530 broker started. mode=2, port=5555, znode=/Election/Broker_0000000055
2019-02-21,23:01:13.123274 request={'type': 'add_publisher', 'ip': 'tcp://127.0.0.1:5050', 'topic': 'hello0'}, response=
2019-02-21,23:01:13.160171 Publisher changes. Table={'hello0': {'pub': {'tcp://127.0.0.1:5050'}, 'sub': set()}}
2019-02-21,23:01:18.181738 request={'type': 'add_subscriber', 'ip': 'tcp://127.0.0.1:6000', 'topic': 'hello0'}, response=
2019-02-21,23:01:18.184731 request={'type': 'add_subscriber', 'ip': 'tcp://127.0.0.1:6001', 'topic': 'hello0'}, response=
2019-02-21,23:01:18.184731 request={'type': 'add_subscriber', 'ip': 'tcp://127.0.0.1:6003', 'topic': 'hello0'}, response=
2019-02-21,23:01:18.184731 request={'type': 'add_subscriber', 'ip': 'tcp://127.0.0.1:6002', 'topic': 'hello0'}, response=
2019-02-21,23:01:18.301419 request={'type': 'add_subscriber', 'ip': 'tcp://127.0.0.1:6004', 'topic': 'hello0'}, response=
2019-02-21,23:01:18.336328 request={'type': 'add_subscriber', 'ip': 'tcp://127.0.0.1:6005', 'topic': 'hello0'}, response=
2019-02-21,23:01:18.366248 request={'type': 'add_subscriber', 'ip': 'tcp://127.0.0.1:6006', 'topic': 'hello0'}, response=
2019-02-21,23:01:18.423094 request={'type': 'add_subscriber', 'ip': 'tcp://127.0.0.1:6007', 'topic': 'hello0'}, response=
2019-02-21,23:01:18.480939 request={'type': 'add_subscriber', 'ip': 'tcp://127.0.0.1:6008', 'topic': 'hello0'}, response=
2019-02-21,23:01:18.538784 request={'type': 'add_subscriber', 'ip': 'tcp://127.0.0.1:6009', 'topic': 'hello0'}, response=
2019-02-21,23:01:18.621564 Subscriber changes. Table={'hello0': {'pub': {'tcp://127.0.0.1:5050'}, 'sub': {'tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6003'}}}
2019-02-21,23:01:18.633531 Subscriber changes. Table={'hello0': {'pub': {'tcp://127.0.0.1:5050'}, 'sub': {'tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'}}}
2019-02-21,23:01:28.332588 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_0'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:28.534049 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_1'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:28.757452 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_2'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:28.987837 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_3'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:29.220215 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_4'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:29.440628 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_5'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:29.646079 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_6'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:29.806647 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_7'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:29.981179 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_8'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:30.157707 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_9'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
2019-02-21,23:01:30.327254 request={'type': 'publish_req', 'topic': 'hello0', 'value': 'hello0_msg_10'}, response=msg sent to ip=['tcp://127.0.0.1:6004', 'tcp://127.0.0.1:6005', 'tcp://127.0.0.1:6007', 'tcp://127.0.0.1:6002', 'tcp://127.0.0.1:6008', 'tcp://127.0.0.1:6006', 'tcp://127.0.0.1:6001', 'tcp://127.0.0.1:6000', 'tcp://127.0.0.1:6009', 'tcp://127.0.0.1:6003'], res=[{'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}, {'msg': 'success'}]
